verb,other_forms,approved_meaning,ste_examples,page
CONTROL,,Something that controls,"IN AN EMERGENCY, USE THE MANUAL CONTROL.",2-1-C20
GO,"GOES, WENT",To move to or from something,MAKE SURE THAT THE POINTER GOES OUT OF VIEW.,2-1-G6
SMELL,"SMELLS, SMELLED, SMELLED",To sense with the nose,"IF YOU SMELL OIL IN THE COMPARTMENT, REPLACE THE RECIRCULATION FILTERS.",2-1-S15
ABSORB,"ABSORBS, ABSORBED, ABSORBED",1. To take up or into 2. To decrease the effect of,ABSORB THE FLUID WITH A CLEAN CLOTH. | THE SHOCK MOUNT ABSORBS THE VIBRATION.,2-1-A3
CORRECT,,That agrees with all that is necessary to the maximum,MAKE SURE THAT THE POLARITIES ARE CORRECT.,2-1-C21
GO OFF,"GOES OFF, WENT OFF",To become dark when an internal power source is de-energized,THE ANNUNCIATOR LIGHT GOES OFF.,2-1-G6
OBEY,"OBEYS, OBEYED, OBEYED",To do that which the procedures or instructions tell you,OBEY THE PRECAUTIONS THAT FOLLOW.,2-1-O1
SMOKE,,A gas that has particles of burned material and that you can see,"WHEN THE CONCENTRATION OF SMOKE IS MORE THAN THE LIMIT, AN ALARM OPERATES.",2-1-S15
ACCEPT,"ACCEPTS, ACCEPTED, ACCEPTED",To make a decision that something is satisfactory,ACCEPT THE RELAY IF IT IS SERVICEABLE.,2-1-A4
COUNT,"COUNTS, COUNTED, COUNTED",To add the number of objects or occurrences to get a total,COUNT THE NUMBER OF TREADS ON THE TIRE.,2-1-C23
GROUND,,The surface of the earth,YOU CAN ONLY DO THIS PROCEDURE ON THE GROUND.,2-1-G8
OCCUR,OCCURS OCCURRED,"To be found or to take place, to come to be","A SUDDEN MOVEMENT OF THE CONTROL SURFACES CAN OCCUR. | IF THE SYMPTOMS OCCUR AGAIN, DO A SYSTEM TEST.",2-1-O2
SOAK,"SOAKS, SOAKED, SOAKED",1. To put something into a liquid and keep it there until it is fully wet or soft 2. To stay in liquid until fully wet or soft.,SOAK THE FILTER IN THE CLEANING SOLUTION FOR 4 HOURS. | THE COMPONENT MUST SOAK IN THE SOLUTION FOR A MINIMUM OF 2 HOURS.,2-1-S16
ACTIVATE,,"To make a system, function, or feature ready for operation",THE AUTOPILOT ACTIVATES THE APPROACH MODE. | START THE MOTOR.,2-1-A6
CUT,"CUTS, CUT, CUT",1. To divide into CUT parts THREE 2. To remove with a CUT sharp tool THE,THE CABLE INTO EQUAL AND DISCARD LOCKWIRE.,2-1-C24
OPEN,,That lets something go in or out,PUT A PLUG ON THE OPEN END OF EACH PIPE.,2-1-O3
SPEAK,"SPEAKS, SPOKE, SPOKEN",To use a voice to make words,SPEAK INTO THE MICROPHONE.,2-1-S18
ADAPT,"ADAPTS, ADAPTED, ADAPTED",To change or adjust to that which is necessary,ADAPT THE PRESSURE CONNECTION TO THE PITOT HEAD. | THE SYSTEM INTERFACE CIRCUITS ADAPT TO THE PHYSICAL PROPERTIES OF THE CONNECTED SYSTEMS.,2-1-A7
HANG,"HANGS, HUNG, HUNG",To attach or to be attached to something above with no support from below,HANG THE SHACKLE ON THE HOIST. | LOWER THE PLATFORM ASSEMBLY UNTIL IT HANGS ON THE SUPPORT FRAME.,2-1-H1
OPERATE,"OPERATES, OPERATED, OPERATED","To put, keep, or be in action",OPERATE THE PLUNGER TO DRAIN THE SYSTEM. | DO NOT GO NEAR THE ENGINE WHEN IT OPERATES.,2-1-O4
SPILL,"SPILLS, SPILLED, SPILLED","To accidentally flow, or cause to flow, out of a container","IF THE ELECTROLYTE SPILLS, REMOVE IT IMMEDIATELY. | IF YOU SPILL THE ELECTROLYTE, REMOVE IT IMMEDIATELY.",2-1-S19
ADD,"ADDS, ADDED, ADDED","To increase the number, dimension, or quantity",ADD 5 ml OF HARDENER TO THE COMPOUND.,2-1-A7
DEACTIVATE,,"To make a system, function, or feature no longer ready for",SET THE SWITCH TO THE STANDBY POSITION TO DEACTIVATE THE MONITORING BOX. | STOP THE MOTOR.,2-1-D2
HAVE,"HAS, HAD",To possess as a part or quality,THE SYSTEM HAS AN EMERGENCY WARNING DEVICE.,2-1-H3
