word,part_of_speech,other_forms,approved_meaning,guidance,ste_examples,page
A,art,,Function word: indefinite article,,A FUEL PUMP IS INSTALLED IN ZONE 10.,2-1-A1
ABOUT,prep,,Concerned with,"For other meanings, use:","FOR DATA ABOUT THE LOCATION OF CIRCUIT BREAKERS, REFER TO THE WIRING LIST. | DRAIN APPROXIMATELY 2 LITERS OF FUEL FROM THE TANK. | TURN THE SHAFT AROUND ITS AXIS.",2-1-A2
ABOVE,prep,,In (or to) a position farther up than something MORE THAN,"For other meanings, use:",LIFT THE CYLINDER ABOVE ITS INSTALLED POSITION. | THE PRESSURE VALUE MUST BE MORE THAN 800 kPa.,2-1-A2
ABRASIVE,adj,,That can remove material by friction,,POLISH THE SURFACE WITH AN ABRASIVE PAPER.,2-1-A2
ABSORB,v,"ABSORBS, ABSORBED, ABSORBED",1. To take up or into 2. To decrease the effect of,,ABSORB THE FLUID WITH A CLEAN CLOTH. | THE SHOCK MOUNT ABSORBS THE VIBRATION.,2-1-A3
ACCEPT,v,"ACCEPTS, ACCEPTED, ACCEPTED",To make a decision that something is satisfactory,,ACCEPT THE RELAY IF IT IS SERVICEABLE.,2-1-A4
ACCESS,n,,The ability to go into or near,,GET ACCESS TO THE ACCUMULATOR FOR THE No. | 1 HYDRAULIC SYSTEM.,2-1-A4
ACCIDENT,n,,An occurrence that causes injury or damage,,"TO PREVENT ACCIDENTS, MAKE SURE THAT THE PINS ARE INSTALLED.",2-1-A4
ACCIDENTAL,adj,,That does not occur on purpose,,"TO PREVENT ACCIDENTAL OPERATION OF THE SYSTEM, INSTALL THE SAFETY LOCK.",2-1-A5
ACCIDENTALLY,adv,,That does not occur on purpose,,"IF YOU ACCIDENTALLY MOVE THE LEVER, SET THE SYSTEM TO THE NEUTRAL POSITION AGAIN.",2-1-A5
ACCURATE,adj,,Exact,,THE ADJUSTMENT MUST BE ACCURATE.,2-1-A6
ACCURATELY,adv,,Exactly,,PUT THE REPAIR SHEET ACCURATELY ON THE DAMAGED AREA.,2-1-A6
ACROSS,prep,,From one side to the other side,,SAFETY THE CLAMP BLOCK ACROSS THE CONTROL LEVER FORKS WITH SAFETY WIRE.,2-1-A6
ACTIVATE,v,,"To make a system, function, or feature ready for operation","For other meanings, use:",THE AUTOPILOT ACTIVATES THE APPROACH MODE. | START THE MOTOR.,2-1-A6
ACTIVE,adj,,"A system, function, or feature in a state of action",,DOWNLOAD THE EXPORT FILE FROM THE ACTIVE SERVER UNIT.,2-1-A7
ADAPT,v,"ADAPTS, ADAPTED, ADAPTED",To change or adjust to that which is necessary,,ADAPT THE PRESSURE CONNECTION TO THE PITOT HEAD. | THE SYSTEM INTERFACE CIRCUITS ADAPT TO THE PHYSICAL PROPERTIES OF THE CONNECTED SYSTEMS.,2-1-A7
ADD,v,"ADDS, ADDED, ADDED","To increase the number, dimension, or quantity",,ADD 5 ml OF HARDENER TO THE COMPOUND.,2-1-A7
ADJACENT,adj,,"That which is near to an object, with no other object of the same type between the two",,DO NOT OPERATE THE ADJACENT CONTROL.,2-1-A8
ADJACENT TO,prep,,"To be near to an object, with no other object of the same type between the two",,THE FUEL PUMP IS INSTALLED ADJACENT TO THE BULKHEAD.,2-1-A8
ADJUST,v,"ADJUSTS, ADJUSTED, ADJUSTED",To put in or come to a specified position or value,,ADJUST THE FREQUENCY TO THE VALUE GIVEN IN TABLE 1. | THE INTERNAL LOGIC ADJUSTS TO SUDDEN CHANGES IN TEMPERATURE.,2-1-A8
