word,part_of_speech,status,other_forms,approved_meaning,approved_alternatives,alternatives_raw,guidance,ste_examples,non_ste_examples,page
A,art,STE (approved),,Function word: indefinite article,,Function word: indefinite article,,A FUEL PUMP IS INSTALLED IN ZONE 10.,,2-1-A1
abaft,prep,Non-STE (not approved),,,AFT OF (prep),AFT OF (prep),,THE CONTROL UNIT IS INSTALLED AFT OF THE FLIGHT COMPARTMENT.,The control unit is installed abaft the flight compartment.,2-1-A1
abandon,v,Non-STE (not approved),,,GO (v) | STOP (v),GO (v) STOP (v),,"IF THERE IS A FIRE, IMMEDIATELY GO TO A SAFE AREA. | IF THE VALUES ARE INCORRECT, STOP THE TEST PROCEDURE.","If there is a fire, immediately abandon the area. | If the values are incorrect, abandon the test procedure.",2-1-A1
abate,v,Non-STE (not approved),,,DECREASE (v),DECREASE (v),,"WHEN THE WIND SPEED DECREASES TO LESS THAN 30 KNOTS, YOU CAN OPEN THE CARGO DOOR.","When the wind speed abates to less than 30 knots, you can open the cargo door.",2-1-A1
ability,n,Non-STE (not approved),,,CAN (v),CAN (v),,ONE GENERATOR CAN SUPPLY POWER FOR ALL THE SYSTEMS.,One generator has the ability to supply power for all the systems.,2-1-A1
able,adj,Non-STE (not approved),,,CAN (v),CAN (v),,"IF YOU CAN START THE ENGINE, DO THE APPLICABLE TESTS.","If you are able to start the engine, do the applicable tests.",2-1-A1
abnormal,adj,Non-STE (not approved),,,UNUSUAL (adj) | INCORRECT (adj),UNUSUAL (adj) INCORRECT (adj),,"LISTEN FOR UNUSUAL NOISES. | IF YOU FIND AN INCORRECT QUANTITY OF AIR FROM THE VENT MAST, DO A SYSTEM TEST.","Listen for abnormal noises. | If you find an abnormal quantity of air from the vent mast, do a system test.",2-1-A1
abnormality,n,Non-STE (not approved),,,DEFECT (TN),DEFECT (TN),,EXAMINE THE SEAL FOR DEFECTS.,Examine the seal for abnormalities.,2-1-A1
ABOUT,prep,STE (approved),,Concerned with,APPROXIMATELY (adv) | AROUND (prep),Concerned with APPROXIMATELY (adv) AROUND (prep),"For other meanings, use:","FOR DATA ABOUT THE LOCATION OF CIRCUIT BREAKERS, REFER TO THE WIRING LIST. | DRAIN APPROXIMATELY 2 LITERS OF FUEL FROM THE TANK. | TURN THE SHAFT AROUND ITS AXIS.",Drain about 2 liters of fuel from the tank. | Rotate the shaft about its axis.,2-1-A2
ABOVE,prep,STE (approved),,In (or to) a position farther up than something MORE THAN,,In (or to) a position farther up than something MORE THAN,"For other meanings, use:",LIFT THE CYLINDER ABOVE ITS INSTALLED POSITION. | THE PRESSURE VALUE MUST BE MORE THAN 800 kPa.,The pressure value must be above 800 kPa.,2-1-A2
ABRASIVE,adj,STE (approved),,That can remove material by friction,,That can remove material by friction,,POLISH THE SURFACE WITH AN ABRASIVE PAPER.,,2-1-A2
abrupt,adj,Non-STE (not approved),,,SUDDEN (adj) | SUDDENLY (adv),SUDDEN (adj) SUDDENLY (adv),,"THE DAMPER PREVENTS SUDDEN MOVEMENT OF THE CONTROL. | IF THE ROTORS STOP SUDDENLY, EXAMINE THE INTAKE FOR UNWANTED MATERIAL.","The damper prevents abrupt movement of the control. | If the rotors come to an abrupt stop, examine the intake for unwanted material.",2-1-A2
absence,n,Non-STE (not approved),,,NONE (pron) | NOT (adv) | NO (adj),NONE (pron) NOT (adv) NO (adj),,"IF NONE OF THE BRACKETS ARE DAMAGED, CONTINUE THE PROCEDURE. | IF THE BRACKETS ARE NOT DAMAGED, CONTINUE THE PROCEDURE. | IF THERE IS NO CONTAMINATION IN THE FUEL SAMPLE, CONTINUE THE PROCEDURE.","In the absence of damage to the brackets, continue the procedure. | In the absence of damage to the brackets, continue the procedure. | In the absence of contamination in the fuel sample, continue the procedure.",2-1-A3
absent,adj,Non-STE (not approved),,,MISSING (adj) | NO (adj),MISSING (adj) NO (adj),,"IF ONE OR MORE BLADES ARE MISSING, MAKE AN ENTRY IN THE ENGINE LOGBOOK. | IF THERE IS NO CONTAMINATION IN THE FUEL SAMPLE, CONTINUE THE PROCEDURE.","If one or more blades are absent, make an entry in the engine logbook. | If contamination is absent from the fuel sample, continue the procedure.",2-1-A3
absolutely,adv,Non-STE (not approved),,,FULLY (adv),FULLY (adv),,MAKE SURE THAT THE LATCH IS FULLY ENGAGED.,Ensure the latch is absolutely engaged.,2-1-A3
ABSORB,v,STE (approved),"ABSORBS, ABSORBED, ABSORBED",1. To take up or into 2. To decrease the effect of,,1. To take up or into 2. To decrease the effect of,,ABSORB THE FLUID WITH A CLEAN CLOTH. | THE SHOCK MOUNT ABSORBS THE VIBRATION.,,2-1-A3
absorption,n,Non-STE (not approved),,,ABSORB (v),ABSORB (v),,MEASURE THE TIME THAT IS NECESSARY FOR THE SILICA GEL TO ABSORB THE MOISTURE.,Measure the rate of absorption of the moisture by the silica gel.,2-1-A3
